id_doc,Text's title,Author,original_name,Normalized name,ID wikidata,identifiers,coordinate location,Longitude,Latitude,Type of place,printer,publication place,date
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"ARGENTINA",Argentina,Argentina,Q414,"-34,-64",-34,-64,Argentina,Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Buenos-Ayres","Buenos Aires",Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,"Buenos Aires",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Buenos--Ayres","Buenos Aires",Buenos Aires,Q1486,"-34.599722222222,-58.381944444444",-34.599722222222,-58.381944444444,"Buenos Aires",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Barracas","Barracas",Barracas,Q680964,"-34.65,-58.383333333333",-34.65,-58.383333333333,"Barracas",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Recoleta","Recoleta","Recoleta, Buenos Aires",Q1010253,"-34.590555555556,-58.390555555556",-34.590555555556,-58.390555555556,"Recoleta",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"América","América",América,Q2400442,"-35.483333333333,-62.966666666667",-35.483333333333,-62.966666666667,"América",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Barracas","Barracas",Barracas,Q680964,"-34.65,-58.383333333333",-34.65,-58.383333333333,"Barracas",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Constantinopla","Constantinopla",Constantinople,Q16869,"41.0125,28.98",41.0125,28.98,"Constantinopla",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Vesuvio","Vesuvio",Mount Vesuvius,Q524,"40.821388888889,14.425555555556",40.821388888889,14.425555555556,"Vesuvio",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Santa Elena","Santa Elena",Saint Helena,Q34497,"-15.95,-5.7166666666667",-15.95,-5.7166666666667,"Santa Elena",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_I,Delirio I,Antonio José Valdés,"Andes","Andes",Andes,Q5456,"-32.65333333,-70.01166667",-32.65333333,-70.01166667,"Andes",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"ARGENTINA",Argentina,Argentina,Q414,"-34,-64",-34,-64,Argentina,Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"Andes","Andes",Andes,Q5456,"-32.65333333,-70.01166667",-32.65333333,-70.01166667,"Andes",Imprenta de Gandarillas y socios,Buenos Aires,1816
antonio_jose_valdes_delirio_II,Delirio II,Antonio José Valdés,"barrio de Triana","barrio de Triana",Triana,Q957828,"37.383580555556,-6.0052",37.383580555556,-6.0052,"barrio de Triana",Imprenta de Gandarillas y socios,Buenos Aires,1816
